,이름,채널ID,동영상ID,제목,조회수,좋아요수,댓글수
422,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,aH9DePNjZro,SUB)육즙팡팡 통삼겹베이컨에 까르보 불닭볶음면 먹방! 디저트 대왕딸기까지 꿀조합 리얼사운드 Carbo Buldak &amp; Bacon Mukbang Asmr,1469131,26259,364
423,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,oomlIdnwrBE,SUB)뜨끈칼칼 돼지김치찌개에 라면사리 넣어서 먹방!🍜 삼겹살 제육 쌈밥까지 한식 집밥 꿀조합 리얼사운드 Pork Kimchi-jjigae Mukbang Asmr,960777,18988,280
424,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,EJ1hVwcFeZ8,SUB)알싸한 마라샹궈에 간장계란밥 꿀조합 먹방! 바삭쫀득 꿔바로우 꽃빵튀김까지 디저트 리얼사운드 Mala Xiang Guo &amp; Guobaorou Mukbang Asmr,1682554,26846,379
425,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,mtcRirDnEbI,SUB)알 가득 간장게장 간장새우장 먹방! 흰쌀밥에 내장 왕창 비벼먹기🦀🍚 Soy Sauce Marinated Crab Shrimp Mukbang Asmr,1696056,28333,355
426,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,JuSy-zRAUWk,SUB)중식 특집! 꾸덕촉촉 쟁반짜장에 옛날탕수육 군만두 먹방! 칠리새우까지🍤 짜장면 꿀조합 리얼사운드 Jajangmyeon mukbang Asmr,1161882,22291,327
427,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,_1DelicJ0o8,SUB)편의점 음식 먹방 5탄! 순두부진짬뽕 짜파게티범벅 삼각김밥 소세지 피자 샌드위치 디저트까지 꿀조합 Convenience Store Food Mukbang Asmr,2317987,45698,507
428,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,xf0-BvA-ZII,SUB)겉바속촉 BBQ 황금올리브 후라이드 치킨 먹방!🍗 레드양념 치즈소스에 푹푹 찍어먹기 감자튀김 닭껍질튀김까지 꿀조합 리얼사운드 Chicken Mukbang Asmr,3372953,47707,687
429,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,j2-ugpH3A4Q,SUB)역대급 바삭하게 구운 통대창 먹방! 불닭볶음면쌈 팽이버섯쌈까지🔥 6분만에 순삭하기🫣 Buldak Wrap &amp; Beef Intestine Mukbang Asmr,1717204,27537,395
430,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,fDAf2wjXlaI,SUB)백화점 식품관 털기! 닭강정 대왕유부초밥 떡갈비파이 꼬치 군만두까지 간식 꿀조합 리얼사운드 Food Court Mukbang Asmr,1425333,27939,309
431,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,1JmLvsbBk-U,SUB)엽떡 신메뉴 짜장떡볶이 먹방! 오징어튀김 새우튀김 치즈튀김에 오돌뼈밥까지 꿀조합 리얼사운드 Jjajang Tteokbokki Mukbang Asmr,1608556,26633,334
432,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,SWCW--YMxdM,SUB)상큼폭발! 딸기 가득 생크림 초코 케이크 먹방🍓🍰 마카롱 황치즈케이크 대왕딸기까지 디저트 꿀조합 리얼사운드 Strawberry Cake Dessert Mukbang Asmr,963502,20121,330
433,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,knv1PWcR980,SUB)탱글탱글 소세지에 불닭마요 듬뿍! 빅후랑크 비엔나 먹방 꿀조합 리얼사운드 Sausage Mukbang Asmr,1874464,34005,426
434,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,jZqBNsCGvaM,SUB)매콤바삭 치토스치킨에 꾸덕~한 크림파스타 먹방! 베이컨김치도리아까지🥘 꿀조합 리얼사운드 Cheetos Chicken &amp; Pasta Mukbang Asmr,1702973,31451,402
435,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,FRsV7mumThg,SUB)매콤한 쫄면에 빠삭파삭 튀김군만두 먹방!🥟 연어후토마끼 새우튀김롤까지 꿀조합 리얼사운드 Jjolmyeon &amp; Mandu Mukbang Asmr,1157228,22392,350
436,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,rc8DpPI91ws,SUB)랍스터 치즈 버터구이 먹방!🦞✨ 내장볶음밥까지 꿀조합 리얼사운드 Butter Grilled Lobster Mukbang Asmr,1704336,31684,403
437,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,KFsMJYqvmJs,SUB)칼칼한 열라면에 치즈김밥 새우튀김김밥 오징어튀김김밥 먹방!🍜 김장김치까지 분식 꿀조합 리얼사운드 Ramyeon with Gimbap Mukbang Asmr,3019528,43885,528
438,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,w9LAUsXKEsY,SUB)쫀득탱글 간장새우장 연어장에 간장육회까지 밥도둑 특집!🍚고소한 노른자에 적셔먹기🫠💛 Soy sauce marinated shrimp &amp; salmon Mukbang Asmr,1114414,20838,293
439,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,EYtRc1Vwlec,SUB)바삭빠삭 튀김에 맥주 먹방🍤🍺🍗 바질크림새우 치킨 고추유린기 가지튀김까지 꿀조합 리얼사운드 Crunchy Fried Chicken &amp; Beer Mukbang Asmr,1392818,27272,353
440,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,WEOl2oZIPv4,SUB)꾸덕촉촉 짜파게티에 매운 마라오징어 팽이버섯 넣어서 먹방! 파김치 겉절이까지 짜장라면 꿀조합 리얼사운드 Mala Chapagetti Mukbang Asmr,2985260,40956,450
441,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,TcQU2WenRik,SUB)매콤칼칼 묵은지 닭볶음탕에 우동사리 넣어서 먹방! 바삭한 닭발튀김 주먹밥 계란말이까지 한식 찜닭 꿀조합 리얼사운드 Kimchi Jjimdak Mukbang Asmr,1618681,26700,333
442,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,yMOzH-s0IWk,SUB)신전떡볶이 허니콤보 꿀조합 먹방🍗 치즈추가 교촌순살 레드순살까지 치킨 리얼사운드 Cheese Tteokbokki Chicken Mukbang Asmr,4907183,76024,681
443,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,XfuUsH62MXM,SUB)집밥 먹방! 낙지젓갈 오징어젓갈 전복장 비엔나소세지 꼬막무침 양배추쌈까지 한식 꿀조합 리얼사운드 Home-cooked Meal Mukbang Asmr,1054344,21234,399
444,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,ueR7jhXoVow,SUB)치즈가득 두툼한 치즈롤까스에 불닭볶음면 먹방! 새우튀김 치킨 체다치즈 돈까스까지 꿀조합 리얼사운드 Pork Cutlet Mukbang Asmr,2839758,49689,528
445,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,oxDh_kN60D0,SUB)친구랑 홍대에서 맥주 9잔 마신 날🍺🍗 마늘통닭 양념통닭 치킨스테이크에 피자까지 범맥주 치맥 야외 먹방 브이로그 Outdoor Mukbang Vlog,693034,15735,354
446,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,nSItwrY59qA,SUB)맘스터치 불싸이버거 인크레더블버거 후라이드통다리 떡강정 치즈스틱 치킨 먹방!🍔🍟🍗 햄버거 꿀조합 리얼사운드 Burgers &amp; Chicken Mukbang Asmr,2823361,51414,574
447,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,RlEbD3uf4Fg,SUB)당면 가득 맵칼한 낙곱새 먹방!🔥 낙곱새덮밥까지 꿀조합 리얼사운드 Spicy Small Octopus &amp; Tripe &amp; Shrimp Mukbang Asmr,1379549,23547,349
448,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,dNq3XtTHkc4,SUB)속이 꽉 찬! 대왕 킹크랩 먹방 Asmr🦀 살 가득 퍼먹고 고소한 내장에 밥까지 비벼서 마무리하기 King Crab Mukbang Asmr,2182739,38088,537
449,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,AgjL_KQZLsM,SUB)크리스마스 특집! 크리스피 도넛 먹방🍩🎅🏻🎁 오리지널 로투스 치즈케이크 버블티까지 디저트 리얼사운드 Christmas Doughnuts Mukbang ASMR,1116606,21965,491
450,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,WMIOrxeoYGQ,SUB)갓 담근 김치에 통수육 먹방! 생굴무침 된장찌개까지 한식 집밥 꿀조합 리얼사운드 Boiled Pork &amp; Seasoned Raw Oysters Mukbang Asmr,2017860,29322,458
451,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,NsMhtCEflRk,SUB)요양 먹방 브이로그😶‍🌫 낙지김치죽에 치즈 추가해서 가볍게 먹으려다 떡볶이 튀김 순대 김밥까지 뿌신 날👊🏻 Mukbang Vlog,1036063,20803,465
452,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,38ePcpljZ9k,SUB)처음부터 끝까지 바삭한 대왕 텐동 먹방!🍤 랍스타 꽃게튀김 새우튀김 장어 꽈리고추 버섯까지 리얼사운드 Crunchy Tenpura Mukbang Asmr,2001568,33594,497
453,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,_8ognCwKsGM,SUB)길거리 분식 특집! 떡볶이에 대왕 오징어튀김 김말이 떡꼬치 김밥 순대 어묵까지 꿀조합 리얼사운드 Tteokbokki &amp; Fried Squid Mukbang Asmr,2460888,43161,475
454,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,oZ3udSj0688,SUB)꾸덕매콤 크림진짬뽕에 굽네 고추바사삭 치킨 먹방! 불닭마요 킬바사까지 꿀조합 리얼사운드 Chicken &amp; Cream Noodles Mukbang Asmr,2280929,38526,432
455,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,SLRSsrxnAgM,SUB)김밥천국 먹방! 매콤한 쫄면에 돈까스 땡초참치김밥 오므라이스 왕만두까지 분식 꿀조합 리얼사운드 Jjolmyeon Gimbap Mukbang Asmr,956501,19255,327
456,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,rGwhx8Sr2eY,SUB)바삭하게 구운 통대창에 알싸한 마라탕 먹방!🍜 파김치까지 대창 꿀조합 리얼사운드 Beef Instestine &amp; Malatang Mukbang Asmr,1967547,27538,486
457,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,va6l37ko5v0,SUB)매운 닭꼬치에 맥주 먹방!🍗🍺 대왕소세지 닭발 베이컨팽이버섯말이 해쉬브라운 문어꼬치까지 꿀조합 리얼사운드 Chicken Skewer &amp; Beer Mukbang ASMR,2348447,37774,430
458,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,v2vv8TKnbK0,SUB)드디어 킹타이거 새우장 먹방! 새우탕 컵라면까지 간장새우 꿀조합 리얼사운드 Soy Sauce Marinated King Tiger Shrimp Mukbang Asmr,940443,16653,270
459,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,tWTgMw7vG7I,SUB)치즈 불닭볶음면에 단짠바삭 허니콤보 치킨 먹방! 교촌 순살 콘치즈 꽈배기까지 꿀조합 리얼사운드 Chicken &amp; Buldak Noodles Mukbang Asmr,6171964,86206,918
460,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,JJxbgGVfP5A,SUB)윤기좔좔 짜파게티에 바삭한 삼겹살튀김 먹방! 짜장라면 꿀조합 리얼사운드 Chapagetti &amp; Fried Pork Belly Mukbang Asmr,1765500,29917,434
461,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,CCh15AfXjZ0,SUB)초밥 한판 먹방!🍣 참치뱃살 간장새우 가리비관자 홍새우회에 바삭한 머리튀김까지 꿀조합 리얼사운드 Assorted Sushi Mukbang Asmr,1664429,29242,484
462,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,Yhr5C3zJp6Y,SUB)매콤한 소세지 김치볶음밥에 로제떡볶이 먹방! 생크림와플 붕어빵 망고빙수까지 디저트 꿀조합 리얼사운드 Rose Tteokbokki Dessert Mukbang Asmr,2189854,34639,416
463,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,EVkkFa7B6Ns,SUB)직접 만든 집밥 브이로그🍜🏠 LA갈비 고추장삼겹살 순두부찌개 해먹고 누데이크 피크케이크 디저트 먹방 Mukbang vlog,915097,19793,547
464,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,tIaNAqEJduw,SUB)굴 듬뿍 넣은 굴라면 먹방!🍜 바삭한 굴튀김에 김장김치까지 진짬뽕 꿀조합 리얼사운드 Oyster Ramyeon &amp; Kimchi Mukbang Asmr,1734412,28749,406
465,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,e743AWWSNic,SUB)인도 커리 먹방! 치킨마크니 램빈달루 볶음밥 치킨 튀김 난까지 꿀조합 리얼사운드 Indian Curry Mukbang Asmr,1123624,26098,539
466,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,A9NRvqRlxig,SUB)팡팡 터지는 대창에 돈까스 덮밥 먹방! 왕새우 순두부찌개까지 꿀조합 리얼사운드 Intestine &amp; Pork cutlet Mukbang Asmr,1476053,24298,391
467,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,9IOzG4NVVcQ,SUB)뿌링클 맛초킹 치킨 먹방!✨뿌링핫도그 치즈볼까지 단짠단짠 꿀조합 리얼사운드 Chicken Mukbang Asmr,1283778,24567,430
468,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,Fr1K6EQuEMA,SUB)뜨끈칼칼 돼지곱창전골 먹방!🔥당면 우동사리에 볶음밥 주먹밥까지 꿀조합 리얼사운드 Gopchang Jeongol Mukbang Asmr,1334130,22567,300
469,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,IXqOjHo9K0U,SUB)살살 녹는 통연어 2kg 먹방! 직접 만든 연어국수까지 연어파티 꿀조합 리얼사운드 Salmon Mukbang Asmr,3379575,51384,819
470,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,pQik_VwXbUU,SUB)버거킹 신메뉴 골든치즈렐라 와퍼 먹방!🍔 통새우와퍼 타바스코버거에 너겟킹 치즈스틱 바삭킹까지 치킨 햄버거 꿀조합 리얼사운드 Burger King Mukbang Asmr,1637165,35488,488
471,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,iGYfuJKKo6o,SUB)스팸구이 올린 부대찌개 먹방!🍜(ft.라면사리&amp;달걀말이) 한식 집밥 꿀조합 리얼사운드 Budae-jjigae Mukbang Asmr,1144495,23304,362
472,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,XUxXpCrnaQg,SUB)분식특집! 매콤쫀득한 라볶이에 바삭바삭 튀김만두 통김밥 소세지김밥 먹방 꿀조합 리얼사운드 Rabokki Mandu Gimbap Mukbang Asmr,2494387,45998,468
473,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,BCA9Csmb794,SUB)꾸덕촉촉 짜장면에 바삭한 멘보샤 먹방! 고추잡채까지 중식 꿀조합 리얼사운드 Jjajangmyeon &amp; Menbosha Mukbang Asmr,1193617,25088,376
474,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,wANIk4qAVKI,SUB)상큼달달 딸기생크림케이크 한판 먹방!🎂🍓멜론 복숭아 수박 샤인머스캣 과일까지 디저트 리얼사운드 Strawberry Cake Fruit Dessert Mukbang Asmr,1075216,22206,405
475,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,NWThLLYCT98,SUB)꼬독쫀득 매운 국물닭발에 닭발튀김 맥주 먹방!🍺 주먹밥 계란찜까지 닭발 꿀조합 리얼사운드 Spicy Dakbal &amp; Beer Mukbang Asmr,1349092,25757,373
476,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,-nvr_AIij70,SUB)육즙팡팡 바삭빠삭 통대창에 곱창 염통 먹방! 파김치까지 대창 꿀조합 리얼사운드 Crispy Beef Intestine Mukbang ASMR,3920123,55300,686
477,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,bLip50oajNs,SUB)야들쫀득 대왕갈비찜에 차돌된장찌개 먹방! 계란말이 잡채까지 거의 명절 그잡채🌝 집밥 한식 꿀조합 리얼사운드 Galbijjim Mukbang Asmr,1515152,26144,489
478,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,5nhu6yFQmMg,SUB)꾸덕꾸덕 로제찜닭 먹방!(ft.중국당면) 왕새우튀김 김말이 주먹밥까지 꿀조합 리얼사운드 Rose Jjimdak Mukbang Asmr,1543172,29070,364
479,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,zmV22KtRfYA,SUB)레전드급 바삭한 통치즈롤까스 돈까스에 매콤한 쫄면 먹방! 날 추워지기 전에 쫄면 먹고 갈게요 꿀조합 리얼사운드 Pork cutlet Mukbang Asmr,4696960,77336,795
480,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,yHs551rDr2M,SUB)탱글오독 간장새우장 양념새우장 먹방! 순살 간장게장 양념게장까지 밥도둑 꿀조합 리얼사운드 Soy sauce marinated shrimp Mukbang Asmr,1601127,31087,492
481,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,8PmK71Yv6-Y,SUB)꼬들칼칼 순두부열라면 먹방!🍜 밥까지 말아먹을게요 리얼사운드 Spicy soft tofu ramyeon Mukbang ASMR,2119575,36155,495
482,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,_AObxjHvuOY,SUB)바삭쫀득 명랑핫도그 먹방!🌭신메뉴 라면맵땅 통모짜 할라피뇨소세지 통가래떡까지 체다치즈소스에 찍어먹기✨ Crispy corn dogs Mukbang Asmr,1586297,34328,478
483,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,42EVIKtmH2E,SUB)꾸덕바삭 슈프림 양념치킨에 짜왕 먹방! 처갓집 치킨 짜장라면 꿀조합 리얼사운드 Chicken and Jajang Ramyeon Mukbang Asmr,3091069,55916,561
484,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,0QV3TvU5AqU,SUB)광장시장 특집! 마약김밥 빈대떡 육회비빔밥 낙지탕탕이 고기완자까지 꿀조합 리얼사운드 Market Food Mukbang Asmr,1381353,27590,374
485,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,Yws6ghOjEjQ,SUB)치즈가득 죠스국물떡볶이 쌀떡볶이 먹방!❤‍🔥 모둠튀김 계란김밥 김치볶음밥 감자채튀김까지 죠스익스프레스 분식 꿀조합 리얼사운드 Tteokbokki Mukbang Asmr,2186390,38490,458
486,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,pugLI0r1fB8,SUB)바삭끝판왕 대왕새우튀김 먹방!🍤 킹타이거 새우튀김에 상콤한 연어샐러드까지 꿀조합 리얼사운드 Various fried shrimps mukbang asmr,2087341,39680,514
487,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,SjZUHIStgcg,SUB)스파게티컵라면 라면볶이에 스테이크 먹방! 편의점과 레스토랑의 퓨전조합🍜🥩 리얼사운드 Spaghetti Noodles &amp; Beef Steak Mukbang Asmr,1145726,25147,398
488,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,f68N-TSZgF0,SUB)꾸덕매콤 컵누들투움바에 왕새우 소세지 넣어서 먹방! 대왕킬바사까지 꿀조합 리얼사운드 Kielbasa &amp; Shrimp Cup Noodles Mukbang Asmr,1496857,30204,470
489,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,sSd6rDgqMwk,SUB)육즙팡팡 버거앤프라이즈 수제버거 먹방🍔🍟 베이컨더블치즈버거 트러플버거 디아볼라버거에 아보카도프라이까지 햄버거 꿀조합 리얼사운드 Hamburger Mukbang Asmr,1882630,41197,538
490,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,vWkLnRwFj1w,"SUB)푸짐한 집밥 먹방🍚 돼지김치찌개 제육볶음 스팸 떡갈비 계란말이까지 꿀조합 리얼사운드 Kimchijjigae, Spam, Tteokgalbi Mukbang ASMR",2024404,35667,612
491,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,DDbQiuGBwsw,SUB)폭신달달 케이크에 버블티 먹방!🍰🥤초코크레이프케이크 샤인머스캣까지 디저트 꿀조합 리얼사운드 Cake &amp; Bubble Tea Dessert Mukbang Asmr,2983104,51393,752
492,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,l04YtM1N0VU,SUB)바삭두툼 돈까스 치즈볼 왕새우튀김 크로켓에 포동한 오므라이스 먹방! 꿀조합 리얼사운드 Pork cutlet and Omelet Mukbang Asmr,2796734,55742,568
493,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,kjoIeGcPqyk,SUB)매콤탱글 쭈꾸미에 우삼겹 차돌 먹방! 묵사발까지 꿀조합 리얼사운드 Spicy Webfoot Octopus Mukbang Asmr,1146138,22765,352
494,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,P1uDXt3SzuU,SUB)미친빠삭함 옛날통닭다리 치킨에 대왕닭껍질튀김 먹방!🍗🍺 생맥주 감자튀김까지 꿀조합 리얼사운드 Chicken &amp; Beer Mukbang Asmr,4935825,77742,918
495,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,9M3EP13Q8bg,SUB)꾸덕꾸덕 명란크림우동에 바삭매콤 깐풍기 칠리새우 먹방!🌶🍗 꿀조합 리얼사운드 Chili Shrimp &amp; Cream Udon Mukbang Asmr,1520467,29914,406
496,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,gTwYMgHySG0,SUB)편의점 음식 먹방! 컵라면 도시락 짜파게티범벅 돈까스김밥 연세우유빵 초코생크림빵 디저트까지 꿀조합 리얼사운드 Convenience Store Food Mukbang Asmr,2421833,46733,618
497,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,YcQMJhuCLLo,SUB)파삭쫀득 BHC 치즈볼 뿌링치즈볼에 불닭볶음면 먹방! 꿀조합 리얼사운드 Cheeseballs &amp; Buldak Noodles Mukbang Asmr,2863980,53350,617
498,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,teB9qqUMTUY,SUB)치즈가득 매콤한 베이컨김치볶음밥에 빠삭두툼 슈바인학센 먹방!🍖🔥 꿀조합 리얼사운드 Schweinshaxe &amp; Kimchi Fried Rice Mukbang Asmr,1095708,23152,359
499,문복희 Eat with Boki,UCoLQZ4ZClFqVPCvvjuiUSRA,bQkVUH6HF1k,SUB)야들짭짤 통삼겹 김치찜에 흰쌀밥 먹방!(ft.등갈비) 스팸 계란후라이까지 집밥 꿀조합 리얼사운드 Kimchijjim Mukbang Asmr,1602510,28769,468
500,tzuyang쯔양,UCfpaSruWW3S4dibonKXENjA,yzsrWBp3nFo,인생초밥집 찾았습니다😳 사당 가성비갑 초밥 xx개 먹방,846496,26659,759
501,tzuyang쯔양,UCfpaSruWW3S4dibonKXENjA,LnpoLJ1PLFM,맥주 몇병 먹었을까..?🤔 을지로 골뱅이가 유명한 핫플 뮌헨호프 먹방,888533,26319,841
502,tzuyang쯔양,UCfpaSruWW3S4dibonKXENjA,-kYYmiDGc-Y,시장 길거리 음식 먹방🔥 800만 감사합니다,2377825,91075,7565
503,tzuyang쯔양,UCfpaSruWW3S4dibonKXENjA,rilnZ_dW2Hg,다 먹으면 쏘신다고 하셨다가..🤣 제부도뻘에서 바로잡은 낙지칼국수 먹방,1400285,38690,851
504,tzuyang쯔양,UCfpaSruWW3S4dibonKXENjA,02LzJVZCqt0,리뷰 2000개가 넘는 김밥나라?!😲 줄서서 먹는다는 김밥나라 분식먹방,2791583,55777,1178
505,tzuyang쯔양,UCfpaSruWW3S4dibonKXENjA,hM9LGb1vdrc,간단하게 피자 4판 먹었습니다😎  34년된 미스터피자 먹방,1201500,30773,681
506,tzuyang쯔양,UCfpaSruWW3S4dibonKXENjA,v0Uf-GJDDeM,삼각지 줄서서 먹는 닭구이?🫢 ??판 먹었더니 직원분이... 핫플 뚝방닭구이 먹방,1181150,30270,476
507,tzuyang쯔양,UCfpaSruWW3S4dibonKXENjA,aQgrA3YISDw,삼겹살 10인분 시키면 신도시부부는 얼마나 놀라는가🤔 묵은지 삼겹살 먹방,1430052,37014,1790
508,tzuyang쯔양,UCfpaSruWW3S4dibonKXENjA,9oLhNKQUq-M,28cm 대왕 오징어 튀김 크기가..😳 매운 가래떡 떡볶이와 분식 먹방,1857546,47335,740
509,tzuyang쯔양,UCfpaSruWW3S4dibonKXENjA,lN9I5uvVA04,일본인 사장님이 놀라셨어요🤣 열정도 찐 숨은골목 맛집 라멘 먹방,2872119,65921,1611
510,tzuyang쯔양,UCfpaSruWW3S4dibonKXENjA,p4kSz4VJj4Q,생고기 8판 먹었더니..😂 당일도축 뭉티기와 육회탕탕이 먹방,1333552,30768,854
511,tzuyang쯔양,UCfpaSruWW3S4dibonKXENjA,O8ZmCAxLyLI,간단하게 비빔면 ?개와 차돌박이 먹방😋,1076579,23917,541
512,tzuyang쯔양,UCfpaSruWW3S4dibonKXENjA,oIekVa6OA-8,줄서서 먹는 인생 맛집..?!🥺중앙해장🔥 곱창만 3kg 들어간 곱창전골 먹방,1661791,38683,697
513,tzuyang쯔양,UCfpaSruWW3S4dibonKXENjA,JNkmE4CX84E,수조에 조개 털었더니..사장님이🫢 가리비와 키조개 잔뜩 들어간 조개찜 먹방,2297804,51309,921
514,tzuyang쯔양,UCfpaSruWW3S4dibonKXENjA,tkXHVfZ8noU,쯔양 주량은 몇병일까..?🤔 대낮에 소주와 해산물 먹방,1770939,34114,1024
515,tzuyang쯔양,UCfpaSruWW3S4dibonKXENjA,cHKKRP4aOQw,라면에 김밥은 못참지🔥 진짬뽕과 스쿨푸드 김밥 먹방,1640047,32409,787
516,tzuyang쯔양,UCfpaSruWW3S4dibonKXENjA,bLU28fVWX_s,간단하게 만두 70개..?🤔 갈비만두로 유명한 마포만두에서 만두 치즈라면 먹방,2482909,57219,827
517,tzuyang쯔양,UCfpaSruWW3S4dibonKXENjA,snpnv6kBB3U,치킨4마리 먹었더니 직원분들 경악🤣 참숯숯불구이 치킨과 치면 먹방,2025845,48185,849
518,tzuyang쯔양,UCfpaSruWW3S4dibonKXENjA,ZsJ7y3NSXIM,83세 메밀 장인분도 놀란 판메밀 ??판 먹방🤣 봉천동 연소바 메밀국수 돈까스,2645538,57424,1002
519,tzuyang쯔양,UCfpaSruWW3S4dibonKXENjA,di27zwr6s9I,짜계치와 간장새우 xx마리! 의외의 환상조합😲 논현동 프로간장새우 먹방,2110786,41250,736
520,tzuyang쯔양,UCfpaSruWW3S4dibonKXENjA,Ybz9loB46ew,대왕 무쇠 철판닭갈비 10인분먹방🤭흑석동 노포 30년전통 홍천닭갈비!,3172523,69095,939
